"Field name","Label (DE)","Label (EN)","Label (FR)","Description (DE)","Description (EN)","Description (FR)"
"presentationAuthorEmail","E-Mail-Adresse (nicht öffentlich) [Autor Präsentation]","E-Mail-Address (not publicly visible) [author presentation]","Adresse email (non publiée)",,,
,"Institution*","Institution ","Institution ","Anbieter der präsentierten Ressource (Name/Institution)","Provider of presented resource (name/institution)","Éditeur du site (nom/institution)"
,"Nachname*","Last name  ","Nom","Weitere hinzufügen","Add another","Ajouter un autre"
,"Vorname*","First name  ","Prénom",,,
,,,,"Mit den folgenden Menüs bitten wir Sie, die Inhalte und Angebote der Ressource zu beschreiben. Sie können in jedem Menü mehrere Rubriken anwählen.","Please use the following menu to describe the contents and services of the resource. In each menu you can choose several categories.","Nous vous prions de décrire l’offre et le contenu de la ressource dans le menu suivant. Pour chaque menu, plusieurs choix sont possibles."
,"Institutionen","Institutions","Institutions","Klassifizieren Sie hier (falls zutreffend) die anbietende Institution.","Classify here (if applicable) the institution supplying the resource.","Indiquez ici, le cas échéant, le type d’institution proposant la ressource."
,"Webdienste und Kommunikation","Web services and communication","Services web et communication","Typ der präsentierten Ressource","Type of presented resource","Type de la ressource présentée"
,"Nachschlagewerke","Factual reference works","Ouvrages de référence","Wählen Sie hier (falls zutreffend) die Art der angebotenen Nachschlagewerke.","Choose here (if applicable) the type of reference works supplied.","Choisissez ici, le cas échéant, le type d’ouvrages de référence proposés."
,"Bibliographien, Kataloge, Verzeichnisse","Bibliographies, catalogues, directories","Bibliographies, catalogues, répertoires","Wählen Sie hier (falls zutreffend) die Art der angebotenen Bibliographien, Kataloge, Verzeichnisse.","Choose here (if applicable) the types of bibliographies, catalogues, directories supplied.","Choisissez ici, le cas échéant, le type de bibliographie, catalogue ou répertoire."
,"Volltexte und Multimedia-Dateien (gemeinfrei)","Full texts and multimedia data (public domain)","Documents en texte intégral et fichiers multimédia (libres de droits)","Beschreiben Sie (falls zutreffend) angebotene Volltexte und Dateien.","Describe here (if applicable) the full texts and data supplied.","Précisez, le cas échéant, le type de documents en texte intégral ou fichiers multimédia mis à disposition."
,"Periodika (Zeitschriften und Fachzeitschriften)","Periodicals (journals and learned journals)","Périodiques (revues et cahiers)","Werden Zeitschriften und Fachzeitschriften im Volltext angeboten?","Are there any periodicals supplied in full text?","Les périodiques sont-ils disponibles en texte intégral ?"
"languagePresentedText","Sprache (n) der präsentierten Internetressource","Language(s) of  presented online resource*","Langue(s) de la ressource présentée",,,
"languagePresentation","Sprache der Präsentation","Language of presentation","Langue de la présentation",,,
"ddcSubject","Thematische Klassifikation","Subject classification","Thème","Bitte nehmen Sie eine thematische, zeitliche und regionale Klassifikation des Angebots der Internetressource vor.","Please classify what the online resource provides concerning subjects, time and area.","Veuillez catégoriser la ressource en sélectionnant une classification par thème, par époque et par espace géographique."
"ddcTime","Zeitliche Klassifikation","Time classification","Période",,,
"ddcPlace","Regionale Klassifikation","Regional classification","Espace",,,
"subject","Schlagwörter [Dropdown-Auswahl]","Subject headings","Mots-clés",,,
,"[Schlagwörter, bereits zugeordnet]","[Schlagwörter, bereits zugeordnet]","[Schlagwörter, bereits zugeordnet]","weiteres Schlagwort hinzufügen","add another subject heading","Ajouter un mot-clé"
,"[""Tick-Box""]","[""Tick-Box""]","[""Tick-Box""]","Ich bin damit einverstanden, dass meine Präsentation von recensio.net unter der Creative-Commons-Lizenz Namensnennung-Keine kommerzielle Nutzung-Keine Bearbeitung [Link] (CC-BY-NC-ND) publiziert wird. Sie darf unter diesen Bedingungen von Plattformnutzern elektronisch benutzt, übermittelt, ausgedruckt und zum Download bereitgestellt werden. 
Die Redaktion behält sich redaktionelle Eingriffe in eingereichte Beiträge vor (siehe dazu die Benutzerrichtlinien [Link]).","I agree that my presentation will be published by recensio.net under the creative-commons-licence Attribution-NonCommercial-NoDerivs [link] (CC-BY-NC-ND). Under these conditions, platform users may use it electronically, distribute it, print it and provide it for download.
The editorial team reserves its right to change incoming posts (see our user guidelines [link] to this).","Je suis d’accord pour que ma présentation soit publiée par recensio.net sous licence Creative Commons paternité – pas d’utilisation commerciale – pas de modification (CC-BY-NC-ND). J’autorise donc son utilisation, sa diffusion, son impression et son téléchargement par les utilisateurs de la plateforme.
La rédaction se réserve le droit de modifier le texte selon les conditions d’utilisation."
,"Senden","Send","Envoyer",,,
,,,,,,
,,,,,,
,,,,,,
"hier = Sortierung nach Reviewed Text / Review (soweit möglich)",,,,,,
"Presented Resource",,,,,,
,,,,"Um eine für die Arbeit von Historikern relevante Internetressource auf recensio.net zu präsentieren, füllen Sie bitte das nachfolgende Formular aus. Die mit * gekennzeichneten Felder sind Pflichtfelder. Bitte beachten Sie, dass eine Präsentation Ihrer Thesen zwar in nahezu allen europäischen Sprachen möglich ist, wir Ihnen jedoch empfehlen, eine der großen Wissenschaftssprachen zu wählen. Sie verleihen Ihrer Präsentation so größtmöglichste Aufmerksamkeit und erhöhen die Wahrscheinlichkeit einer Diskussion Ihrer Thesen.
Sie können alle Angaben zu einem späteren Zeitpunkt verändern oder ergänzen.","Please fill in the following form in order to present an online resource relevant to historians on recensio.net. All fields marked with * are required.
Please keep in mind that you may present your core statements in nearly all European languages but that we would advise you to choose one of the main academic languages. This way your presentation will attract much more attention and discussion of your statements is much more likely.
You can make changes or additions to all data at a later date.","Afin de présenter une ressource Internet présentant un intérêt pour la recherche en histoire, veuillez remplir le formulaire suivant. Les champs marqués d’un astérisque (*) sont obligatoires. Bien que la présentation être proposée dans toute langue européenne, nous vous conseillons cependant d’utiliser de préférence l’une des langues les plus usitées dans le dialogue scientifique actuel. Vous conférerez ainsi une plus grande visibilité à votre présentation et celle-ci sera plus susceptible d’être commentée. Vous avez également la possibilité d’ajouter ou de modifier des informations ultérieurement."
,,,,"Sind Sie registrierte/r Benutzer/in?*
#nein  #ja","Are you a registered user? *  no   yes ","Avez-vous déjà un compte d‘utilisateur ?
*  non   oui"
,"Name der Ressource*","name of resource","Titre de la ressource",,,
,"URL/URN [der Internetressource]","URL/URN [der Internetressource]","URL/URN [der Internetressource]",,,
,"Institution*","Institution ","Institution ","Anbieter der präsentierten Ressource (Name/Institution)","Provider of presented resource (name/institution)","Éditeur du site (nom/institution)"
,"Nachname*","Last name  ","Nom","Weitere hinzufügen","Add another","Ajouter un autre"
,"Vorname*","First name  ","Prénom",,,
,,,,"Mit den folgenden Menüs bitten wir Sie, die Inhalte und Angebote der Ressource zu beschreiben. Sie können in jedem Menü mehrere Rubriken anwählen.","Please use the following menu to describe the contents and services of the resource. In each menu you can choose several categories.","Nous vous prions de décrire l’offre et le contenu de la ressource dans le menu suivant. Pour chaque menu, plusieurs choix sont possibles."
,"Institutionen","Institutions","Institutions","Klassifizieren Sie hier (falls zutreffend) die anbietende Institution.","Classify here (if applicable) the institution supplying the resource.","Indiquez ici, le cas échéant, le type d’institution proposant la ressource."
,"Webdienste und Kommunikation","Web services and communication","Services web et communication","Typ der präsentierten Ressource","Type of presented resource","Type de la ressource présentée"
,"Nachschlagewerke","Factual reference works","Ouvrages de référence","Wählen Sie hier (falls zutreffend) die Art der angebotenen Nachschlagewerke.","Choose here (if applicable) the type of reference works supplied.","Choisissez ici, le cas échéant, le type d’ouvrages de référence proposés."
,"Bibliographien, Kataloge, Verzeichnisse","Bibliographies, catalogues, directories","Bibliographies, catalogues, répertoires","Wählen Sie hier (falls zutreffend) die Art der angebotenen Bibliographien, Kataloge, Verzeichnisse.","Choose here (if applicable) the types of bibliographies, catalogues, directories supplied.","Choisissez ici, le cas échéant, le type de bibliographie, catalogue ou répertoire."
,"Volltexte und Multimedia-Dateien (gemeinfrei)","Full texts and multimedia data (public domain)","Documents en texte intégral et fichiers multimédia (libres de droits)","Beschreiben Sie (falls zutreffend) angebotene Volltexte und Dateien.","Describe here (if applicable) the full texts and data supplied.","Précisez, le cas échéant, le type de documents en texte intégral ou fichiers multimédia mis à disposition."
,"Periodika (Zeitschriften und Fachzeitschriften)","Periodicals (journals and learned journals)","Périodiques (revues et cahiers)","Werden Zeitschriften und Fachzeitschriften im Volltext angeboten?","Are there any periodicals supplied in full text?","Les périodiques sont-ils disponibles en texte intégral ?"
"languagePresentedText","Sprache (n) der präsentierten Internetressource","Language(s) of  presented online resource*","Langue(s) de la ressource présentée",,,
"ddcSubject","Thematische Klassifikation","Subject classification","Thème","Bitte nehmen Sie eine thematische, zeitliche und regionale Klassifikation des Angebots der Internetressource vor.","Please classify what the online resource provides concerning subjects, time and area.","Veuillez catégoriser la ressource en sélectionnant une classification par thème, par époque et par espace géographique."
"ddcTime","Zeitliche Klassifikation","Time classification","Période",,,
"ddcPlace","Regionale Klassifikation","Regional classification","Espace",,,
"subject","Schlagwörter [Dropdown-Auswahl]","Subject headings","Mots-clés",,,
,"[Schlagwörter, bereits zugeordnet]","[Schlagwörter, bereits zugeordnet]","[Schlagwörter, bereits zugeordnet]","weiteres Schlagwort hinzufügen","add another subject heading","Ajouter un mot-clé"
,,,,,,
,,,,,,
"Presentation",,,,,,
"presentation","HTML","HTML","HTML","Angebot der Internetressource
Bitte beschreiben Sie hier kurz und übersichtlich die Angebote und Inhalte der von Ihnen präsentierten Ressource.
Durch das Kommentieren einer bereits vorhandenen Rezension/Präsentation auf recensio.net erhöhen Sie die für Ihre eigene Präsentation zur Verfügung stehende Zeichenzahl von 2000 auf 3000.
Bitte beachten Sie, dass sowohl Kommentare als auch Präsentationen vor ihrer Publikation durch die Redaktion geprüft werden, um Missbrauch zu verhindern. Dadurch sind die Texte frühestens nach 3 Werktagen öffentlich einsehbar.","What does the online resource provide?
Please outline briefly and clearly what kind of contents and services the online resource you are presenting has got to offer. 
You can increase the number of characters available for your own presentation from 2000 to 3000 by commenting on an already existing review/presentation on recensio.net.
Please note that both comments and presentations will be checked by the editorial team before being published in order to prevent misuse. Because of this texts will be availabe online at the earliest after three working days.","Description de la ressource
Veuillez ici formuler de manière succincte l’intérêt présenté par la ressource pour la recherche en histoire.
En commentant une recension/présentation déjà en ligne sur recensio.net, le nombre de caractères attribué à votre présentation personnelle passera de 2000 à 3000 caractères.
Les commentaires et présentations suggérés sur recensio.net sont préalablement filtrés par un modérateur, afin d’éviter tout abus. De ce fait, les textes sont publiés dans un délai minimum de trois jours ouvrés, à partir leur date de soumission sur la plateforme."
,"URL/URN [persönliche Webpage des Autors]","URL/URN [personal webpage author]","URL/URN ","Hier haben Sie die Möglichkeit, Ihre persönliche Website zu verlinken (z.B. innerhalb eines Historikernetzwerks, einer Universität oder Forschungsorganisation). Diese sollte möglichst persistent sein bzw. im Falle einer Änderung (etwa Wechsel der Universität) von Ihnen korrigiert werden.","Here you can link to your personal website (e.g. within a network of historians, a university or research institution). It should preferably be persistent or be corrected by you in case of changes (e.g. change of university).","Vous avez ici la possibilité d’insérer un lien vers votre site personnel (site d’un réseau d’historiens, d’une université ou d’une institution de recherche par exemple). Dans la mesure du possible, cette adresse doit être durable, ou modifiée par vos soins, en cas de changement d’université. "
"presentationAuthorHonorific","Anrede [Autor Präsentation]","Title [author/presentation]","Titre","Autor der Präsentation","author of presentation","Auteur de la présentation"
"presentationAuthorLastname","Nachname [Autor Präsentation]","Last name [author/presentation]","Nom",,,
"presentationAuthorFirstname","Vorname [Autor Präsentation]","First name [author/presentation]","Prénom",,,
"presentationAuthorEmail","E-Mail-Adresse (nicht öffentlich) [Autor Präsentation]","E-Mail-Address (not publicly visible) [author presentation]","Adresse email (non publiée)",,,
"languagePresentation","Sprache der Präsentation","Language of presentation","Langue de la présentation",,,
,"[""Tick-Box""]","[""Tick-Box""]","[""Tick-Box""]","Ich bin damit einverstanden, dass meine Präsentation von recensio.net unter der Creative-Commons-Lizenz Namensnennung-Keine kommerzielle Nutzung-Keine Bearbeitung [Link] (CC-BY-NC-ND) publiziert wird. Sie darf unter diesen Bedingungen von Plattformnutzern elektronisch benutzt, übermittelt, ausgedruckt und zum Download bereitgestellt werden. 
Die Redaktion behält sich redaktionelle Eingriffe in eingereichte Beiträge vor (siehe dazu die Benutzerrichtlinien [Link]).","I agree that my presentation will be published by recensio.net under the creative-commons-licence Attribution-NonCommercial-NoDerivs [link] (CC-BY-NC-ND). Under these conditions, platform users may use it electronically, distribute it, print it and provide it for download.
The editorial team reserves its right to change incoming posts (see our user guidelines [link] to this).","Je suis d’accord pour que ma présentation soit publiée par recensio.net sous licence Creative Commons paternité – pas d’utilisation commerciale – pas de modification (CC-BY-NC-ND). J’autorise donc son utilisation, sa diffusion, son impression et son téléchargement par les utilisateurs de la plateforme.
La rédaction se réserve le droit de modifier le texte selon les conditions d’utilisation."
,"Senden","Send","Envoyer",,,
